MouseID,Behavior,Exc_density,Depth,Inh_density
19,3.703703704,152.434974,20,46.05744792
19,3.703703704,136.552474,30,43.24052083
19,3.703703704,135.9110677,40,43.43869792
19,3.703703704,125.288151,50,40.97528646
19,3.703703704,124.4608854,60,40.73270833
19,3.703703704,114.7704687,70,38.21140625
19,3.703703704,115.7911719,80,36.19033854
19,3.703703704,104.7582292,90,35.38658854
20,0,166.9597917,0,59.47197917
20,0,160.1729167,10,47.72401042
20,0,152.6572396,20,47.04760417
20,0,141.2254167,30,43.22901042
20,0,132.2285417,40,43.21125
20,0,126.9245313,50,41.68760417
20,0,123.1917708,60,38.0025
20,0,122.5077604,70,39.21994792
20,0,112.6690625,80,37.54776042
20,0,109.5091146,90,37.83755208
21,14.28571429,159.0915625,0,57.73609375
21,14.28571429,154.2957813,10,39.28088542
21,14.28571429,142.3847396,20,38.41817708
21,14.28571429,137.8982292,30,35.04692708
21,14.28571429,131.3417188,40,34.13994792
21,14.28571429,121.5078646,50,31.6959375
21,14.28571429,117.1759896,60,31.09375
21,14.28571429,117.3301042,70,31.68828125
21,14.28571429,111.52875,80,31.10447917
21,14.28571429,102.7631771,90,31.59869792
22,0,178.5746875,0,58.99625
22,0,170.7736458,10,51.28041667
22,0,160.5442708,20,43.13145833
22,0,153.9457292,30,38.94635417
22,0,144.0690625,40,35.22625
22,0,137.8158333,50,39.84041667
22,0,132.2633333,60,37.913125
22,0,123.1409375,70,36.02802083
22,0,118.2341667,80,39.09072917
22,0,116.6780208,90,31.92177083
