MouseID,Behavior,Exc_density,Depth,Inh_density
11,136.5,131.0073958,40,24.23828125
11,136.5,130.9395833,50,25.3625
11,136.5,125.5063021,60,25.80989583
11,136.5,108.2839583,70,23.71520833
11,136.5,99.97151042,80,21.78552083
11,136.5,88.24734375,90,20.83088542
12,100,181.0494271,0,56.45820313
12,100,188.2972917,10,37.26651042
12,100,166.0432031,20,32.32817708
12,100,150.6128385,30,28.36786458
12,100,139.0377604,40,26.49458333
12,100,130.7341146,50,22.24429687
12,100,116.3839844,60,22.44671875
12,100,104.3823177,70,21.64471354
12,100,97.80445313,80,20.28200521
12,100,86.15210938,90,19.75523438
13,275.5,147.06625,0,66.88739583
13,275.5,159.3320313,10,56.14770833
13,275.5,145.8701563,20,46.7415625
13,275.5,134.6735938,30,40.71125
13,275.5,126.0173958,40,41.72822917
13,275.5,113.8396875,50,40.11869792
13,275.5,107.2245833,60,38.205
13,275.5,100.2784896,70,36.14671875
13,275.5,95.48880208,80,34.94083333
13,275.5,91.91296875,90,34.16958333
14,247.5,130.5065625,0,55.83364583
14,247.5,157.775625,10,43.37291667
14,247.5,126.185,20,40.37854167
14,247.5,123.5407292,30,37.77416667
14,247.5,119.3982292,40,35.2475
14,247.5,104.5738542,50,33.73729167
14,247.5,110.6579167,60,36.11885417
14,247.5,99.10614583,70,32.8146875
14,247.5,89.848125,80,30.1921875
14,247.5,80.02125,90,28.79208333
15,114,160.0304687,0,43.6840625
15,114,172.5507292,10,38.27005208
15,114,163.0288021,20,34.65911458
15,114,156.433125,30,31.14125
15,114,138.2827604,40,26.98630208
15,114,128.129375,50,24.76432292
15,114,123.6788542,60,27.81578125
15,114,117.1740625,70,25.44484375
15,114,104.6691667,80,23.76135417
15,114,86.61619792,90,20.62057292
16,232.5,208.3627431,0,66.73506944
16,232.5,187.1190972,10,51.95243056
16,232.5,179.3405556,20,41.35909722
16,232.5,176.1620139,30,40.37829861
16,232.5,170.8588889,40,36.62888889
16,232.5,162.4901736,50,33.35072917
16,232.5,152.5057639,60,30.0090625
16,232.5,151.1181597,70,34.87763889
16,232.5,128.6097569,80,28.21739583
16,232.5,116.3199653,90,23.85135417
17,260.5,196.8291667,0,54.87090278
17,260.5,184.3588194,10,36.95934028
17,260.5,174.9195833,20,33.12763889
17,260.5,161.1799306,30,33.3828125
17,260.5,159.1748611,40,30.69538194
17,260.5,157.0860069,50,31.06739583
17,260.5,146.5976389,60,30.27368056
17,260.5,135.5185764,70,29.95520833
17,260.5,130.8780556,80,27.70013889
17,260.5,126.7409028,90,28.15638889
18,306,163.14125,0,59.95607639
18,306,162.5805208,10,45.17777778
18,306,148.5062847,20,40.19006944
18,306,143.6010069,30,41.12982639
18,306,132.7052431,40,40.181875
18,306,131.7991319,50,40.10010417
18,306,123.5296528,60,38.38524306
18,306,121.5861458,70,37.29013889
18,306,121.0788542,80,37.36048611
18,306,119.7272569,90,37.97423611
19,234.5,166.9508594,0,65.59752604
19,234.5,151.7885677,10,51.3703125
19,234.5,152.434974,20,46.05744792
19,234.5,136.552474,30,43.24052083
19,234.5,135.9110677,40,43.43869792
19,234.5,125.288151,50,40.97528646
19,234.5,124.4608854,60,40.73270833
19,234.5,114.7704687,70,38.21140625
19,234.5,115.7911719,80,36.19033854
19,234.5,104.7582292,90,35.38658854
20,462,166.9597917,0,59.47197917
20,462,160.1729167,10,47.72401042
20,462,152.6572396,20,47.04760417
20,462,141.2254167,30,43.22901042
20,462,132.2285417,40,43.21125
20,462,126.9245313,50,41.68760417
20,462,123.1917708,60,38.0025
20,462,122.5077604,70,39.21994792
20,462,112.6690625,80,37.54776042
20,462,109.5091146,90,37.83755208
21,233.5,159.0915625,0,57.73609375
21,233.5,154.2957813,10,39.28088542
21,233.5,142.3847396,20,38.41817708
21,233.5,137.8982292,30,35.04692708
21,233.5,131.3417188,40,34.13994792
21,233.5,121.5078646,50,31.6959375
21,233.5,117.1759896,60,31.09375
21,233.5,117.3301042,70,31.68828125
21,233.5,111.52875,80,31.10447917
21,233.5,102.7631771,90,31.59869792
22,287,178.5746875,0,58.99625
22,287,170.7736458,10,51.28041667
22,287,160.5442708,20,43.13145833
22,287,153.9457292,30,38.94635417
22,287,144.0690625,40,35.22625
22,287,137.8158333,50,39.84041667
22,287,132.2633333,60,37.913125
22,287,123.1409375,70,36.02802083
22,287,118.2341667,80,39.09072917
22,287,116.6780208,90,31.92177083
