MouseID,Behavior,Exc_density,Depth,Inh_density
9,16.37,133.12625,30,31.48154167
9,16.37,125.0089792,40,29.57541667
9,16.37,117.6914375,50,29.10295833
9,16.37,110.8022708,60,29.07947917
9,16.37,101.3853333,70,27.25729167
9,16.37,94.8713125,80,26.21283333
9,16.37,84.99260417,90,24.18470833
10,13.29,146.0466146,0,35.09796875
10,13.29,154.4059896,10,23.99390625
10,13.29,144.5714583,20,22.77385417
10,13.29,133.2991667,30,20.12411458
10,13.29,125.1173438,40,19.77140625
10,13.29,113.4019792,50,20.12114583
10,13.29,107.0445833,60,18.27697917
10,13.29,96.83364583,70,20.05114583
10,13.29,85.788125,80,18.96088542
10,13.29,67.09177083,90,15.55541667
11,14.04,184.239375,0,44.40786458
11,14.04,165.2720313,10,31.1121875
11,14.04,144.7706771,20,26.06203125
11,14.04,142.5992187,30,23.77791667
11,14.04,131.0073958,40,24.23828125
11,14.04,130.9395833,50,25.3625
11,14.04,125.5063021,60,25.80989583
11,14.04,108.2839583,70,23.71520833
11,14.04,99.97151042,80,21.78552083
11,14.04,88.24734375,90,20.83088542
12,12.29,181.0494271,0,56.45820313
12,12.29,188.2972917,10,37.26651042
12,12.29,166.0432031,20,32.32817708
12,12.29,150.6128385,30,28.36786458
12,12.29,139.0377604,40,26.49458333
12,12.29,130.7341146,50,22.24429687
12,12.29,116.3839844,60,22.44671875
12,12.29,104.3823177,70,21.64471354
12,12.29,97.80445313,80,20.28200521
12,12.29,86.15210938,90,19.75523438
13,8.83,147.06625,0,66.88739583
13,8.83,159.3320313,10,56.14770833
13,8.83,145.8701563,20,46.7415625
13,8.83,134.6735938,30,40.71125
13,8.83,126.0173958,40,41.72822917
13,8.83,113.8396875,50,40.11869792
13,8.83,107.2245833,60,38.205
13,8.83,100.2784896,70,36.14671875
13,8.83,95.48880208,80,34.94083333
13,8.83,91.91296875,90,34.16958333
14,11.58,130.5065625,0,55.83364583
14,11.58,157.775625,10,43.37291667
14,11.58,126.185,20,40.37854167
14,11.58,123.5407292,30,37.77416667
14,11.58,119.3982292,40,35.2475
14,11.58,104.5738542,50,33.73729167
14,11.58,110.6579167,60,36.11885417
14,11.58,99.10614583,70,32.8146875
14,11.58,89.848125,80,30.1921875
14,11.58,80.02125,90,28.79208333
15,21.46,160.0304687,0,43.6840625
15,21.46,172.5507292,10,38.27005208
15,21.46,163.0288021,20,34.65911458
15,21.46,156.433125,30,31.14125
15,21.46,138.2827604,40,26.98630208
15,21.46,128.129375,50,24.76432292
15,21.46,123.6788542,60,27.81578125
15,21.46,117.1740625,70,25.44484375
15,21.46,104.6691667,80,23.76135417
