Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\psota\Downloads\250515_Ichinose.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,C„„,C„„ Mean,C„„ SD,ƒ¢C„„,ƒ¢C„„ Mean,ƒ¢C„„ SE,HK Control ƒ¢C„„ Mean,HK Control ƒ¢C„„ SE,ƒ¢ƒ¢C„„,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments,EXPFAIL
B9,WT2,Nlgn2,UNKNOWN,SYBR,None,1.052760601,0.889227629,1.246368051,32.86653519,32.73651505,0.144137502,,3.508105516,0.087721065,,,-0.074177422,TRUE,0.415846221,TRUE,3,26,1,85.57357025,,,,N
C1,WT3,Actb,UNKNOWN,SYBR,None,,,,26.95481682,26.90802574,0.042792827,,,,,,,TRUE,0.407050961,TRUE,3,20,1,84.37879944,,,,N
C2,WT3,Actb,UNKNOWN,SYBR,None,,,,26.87087822,26.90802574,0.042792827,,,,,,,TRUE,0.407050961,TRUE,3,19,1,84.22969055,,,,N
C3,WT3,Actb,UNKNOWN,SYBR,None,,,,26.89837646,26.90802574,0.042792827,,,,,,,TRUE,0.407050961,TRUE,3,20,1,84.37782288,,,,N
C4,WT3,Dlg4,UNKNOWN,SYBR,None,0.887899101,0.843346775,0.934805095,28.87281036,28.87541389,0.017761065,,1.967391372,0.026749961,,,0.171532318,TRUE,0.359166173,TRUE,3,22,1,85.27241516,,,,N
C5,WT3,Dlg4,UNKNOWN,SYBR,None,0.887899101,0.843346775,0.934805095,28.85910034,28.87541389,0.017761065,,1.967391372,0.026749961,,,0.171532318,TRUE,0.359166173,TRUE,3,22,1,85.12919617,,,,N
C6,WT3,Dlg4,UNKNOWN,SYBR,None,0.887899101,0.843346775,0.934805095,28.89433479,28.87541389,0.017761065,,1.967391372,0.026749961,,,0.171532318,TRUE,0.359166173,TRUE,3,22,1,85.12919617,,,,N
C7,WT3,Nlgn2,UNKNOWN,SYBR,None,0.902159095,0.74181205,1.097166181,30.48834419,30.63885307,0.170849293,,3.730829239,0.101686947,,,0.148546219,TRUE,0.415846221,TRUE,3,23,1,85.42133331,,,,N
C8,WT3,Nlgn2,UNKNOWN,SYBR,None,0.902159095,0.74181205,1.097166181,30.82456017,30.63885307,0.170849293,,3.730829239,0.101686947,,,0.148546219,TRUE,0.415846221,TRUE,3,23,1,85.42133331,,,,N
C9,WT3,Nlgn2,UNKNOWN,SYBR,None,0.902159095,0.74181205,1.097166181,30.60365486,30.63885307,0.170849293,,3.730829239,0.101686947,,,0.148546219,TRUE,0.415846221,TRUE,3,24,1,85.57357025,,,,N
D1,WT4,Actb,UNKNOWN,SYBR,None,,,,27.3364296,27.3441925,0.043697603,,,,,,,TRUE,0.407050961,TRUE,3,20,1,84.22969055,,,,N
D2,WT4,Actb,UNKNOWN,SYBR,None,,,,27.3912487,27.3441925,0.043697603,,,,,,,TRUE,0.407050961,TRUE,3,20,1,84.22969055,,,,N
D3,WT4,Actb,UNKNOWN,SYBR,None,,,,27.30489349,27.3441925,0.043697603,,,,,,,TRUE,0.407050961,TRUE,3,20,1,84.37782288,,,,N
D4,WT4,Dlg4,UNKNOWN,SYBR,None,1.014504671,0.936263263,1.09928453,29.18568802,29.11927223,0.057517249,,1.775083542,0.041704174,,,-0.020775476,TRUE,0.359166173,TRUE,3,22,1,85.27241516,,,,N
